id	name	lyric	region	topic
0	东北风	高高的长白山心中的脊梁  肥沃的黑土地怀抱着希望  富饶的大林场茂密的青纱帐  横跨三省一条松花江  鹅毛的大雪飘银装挂树上  沸腾的炊烟绕皑茫茫的村庄  小鸡炖蘑菇猪肉炖粉条  大葱蘸酱热辣烧酒香 	东北	小调
1	翻身五更	一呀更里呀月牙儿没有出来呀啊  全体会员哪你要听明白呀压迫啊  受了几千年哪啊  要诉苦那个在今天  要诉苦那个在今天哪  哎呀我说那个苦哇  苦哇苦也诉不完哪哎呀啊哎呀  二呀更里呀月牙儿出在正东呀	东北	小调
2	哈腰挂	"杠上肩来，嗨, 嗨。哈下要来，嗨，嗨。  钩挂牢来，嗨，嗨。抓住钩来，嗨，嗨。  直起身来，嗨，嗨。抬起头来，嗨，嗨。  开始走来，嗨，嗨。看脚下来，嗨，嗨。  看前面来，嗨，嗨。别回头来，嗨，嗨。 "	东北	号子
3	绣灯笼	一（呀）更里（的那个）灯（哎）笼绣在（了）正（哎）东（的那个），上绣上（的那个）张（哎）生下绣着莺（哎）莺（的那个），张生（哎）莺莺（哎）上（哎）边（哪）绣（哇），粉皮儿墙上留（喂哎）诗（来我把呀呼儿嗨哎嗨哎嗨哎嗨），莺莺她爱张生（啊嗯哎哎嗨呀哈哈哈）。  二（呀）更里（的那个）灯（哎）笼绣在（了）正（哎）南（的那个），上绣上（的那个）吕（哎）布下绣着貂（哎）蝉（的那个），吕布（哎）貂蝉（哎）上（哎）边（哪）绣（哇），风仪亭上相（哎哎）见（来我把呀呼儿嗨哎嗨哎嗨哎嗨），貂蝉她诉诉冤（啊嗯哎哎嗨呀哈哈哈）。  五（呀）更里（的那个）灯（哎）笼绣在（了）中（哎）央（的那个），上绣上（的那个）牛（哎）郎下绣着织（哎）女（的那个），牛郎（啊）织女（呀）天河配（呀），夫妻他们相（哎哎）会（来我把呀呼儿嗨哎嗨哎嗨哎嗨），就在（那个）七月七（啊嗯哎哎嗨呀哈哈哈	河北	小调
4	生产忙	正月哟里来 阿木拉儿正月正呀 嗨 农会开了会呀 大家要订计划呀 发展那大生产哪 哎也是哎嘿 哎哎哎哎 哎哎哎哎 哎嘿哎哎哟 哎嘿 哎哎哎哎 哎哎哎哎 哎嘿哎哎哟会开了会呀 大家要订计划呀 发展那大生产哪 哎也是哎嘿 哎哎哎哎 哎哎哎哎 哎嘿哎哎哟 哎嘿 哎哎哎哎 哎哎哎哎 哎嘿哎哎哟	东北	号子
5	摇篮曲	月儿明风儿静，树叶儿遮窗棂啊  蛐蛐儿叫铮铮，好比那琴弦儿声啊 琴声儿轻，调儿动听，摇篮轻摆动 娘的宝宝闭上眼睛，睡了那个睡在梦中 夜空里卫星飞，唱著那东方红啊 小宝宝睡梦中，飞上了太空那 骑上那个月，跨上那个星，宇宙任飞行 娘的宝宝立下大志，去攀那个科学高峰 报时钟响叮咚，夜深人儿静啊 小宝宝快长大，为祖国立大功啊 月儿那个明，风儿那个静，摇篮轻摆动 娘的宝宝睡在梦中，微微地露了笑容	东北	小调
6	瞧情郎	梳啊洗呀啊打呀扮，戴哎上花呀嗯啊哎哎呀 情郎哥捎信儿让我去瞧他呀倒叫 我呀没有啥拿呀嗯啊哎呀 买了一对儿鸡，买了一对儿鸭 葫芦岛的螃蟹，辽河的虾呀 捎带两个大西瓜呀嗯啊哎哟 天那上啊下呀雨地上滑呀嗯啊哎哎呀 不小心摔了一个出溜滑呀 两只手一扎撒呀嗯啊哎哟 飞了一对儿鸡，跑了一对儿鸭 爬了一对儿螃蟹，蹦了一对儿虾呀 摔坏了两个大西瓜呀嗯啊哎咳哟 儿啦没呀咿呀哈，儿啦没呀咿呀哈 这些礼物都算白拿呀嗯啊哎哎哎哟	东北	小调
7	反对花	正月里来什么样子花开  正月里开了一朵迎春花  迎春开花未曾见过它  小妹妹一心要戴迎春花  七不楞冬青青得儿嗓  八不楞冬嗓得儿嗓得儿花红  得儿嗓得儿嗓得儿嗓得儿嗓得儿嗓得儿嗓  花得儿开得儿叶得儿叶青  四月里来什么样子花开  四月里开了一朵芍药花  芍药开花未曾见过它  小妹妹一心要戴芍药花  七不楞冬青青得儿嗓  八不楞冬嗓得儿嗓得儿花  得儿嗓得儿嗓得儿嗓得儿嗓得儿嗓得儿嗓  花得儿开得儿叶得儿叶青  七月里来什么样子花开  七月里开了一朵菱角花  菱角开花未曾见过它  小妹妹一心要戴它  七不楞冬青青得儿嗓  八不楞冬嗓得儿嗓得儿花红  得儿嗓得儿嗓得儿嗓得儿嗓得儿嗓得儿嗓  花得儿开得儿叶得儿叶青  十月里来什么样子花开  十月里开了一朵冬青花  冬青开花未曾见过它  小妹妹一心要戴冬青花  七不楞冬青青得儿嗓  八不楞冬嗓得儿嗓得儿花红  得儿嗓得儿嗓得儿嗓得儿嗓得儿嗓得儿嗓  花得儿开得儿叶得儿叶青	东北	小调
8	回娘家	风吹著杨柳嘛唰啦啦啦啦啦啦 小河里水流呀哗啦啦啦啦啦啦 谁家的媳妇 她走呀走的忙呀 原来她要回娘家 身穿大红袄 头戴一枝花 胭脂和香粉她的脸上擦 左手一只鸡 右手一只鸭 身上还背著一个胖娃娃呀 咿呀咿得儿喂 一片乌云来 一阵风儿刮 眼看那山中就要把雨下 躲又没处躲 藏又没处藏 豆大的雨点往我身上打呀 咿呀咿得儿喂 淋湿了大红袄 吹落了一枝花 胭脂和花粉变成红泥巴 飞了一只鸡 跑了一只鸭 吓坏了背后的小娃娃呀 咿呀咿得儿喂 哎呀 我怎么去见我的妈	河北	小调
9	新货郎	哎.....打起鼓来，敲起锣来哎，  　　推着小车来送货， 　　车上的东西实在是好阿! 　　有文化学习的笔记本， 　　钢笔，铅笔，文具盒， 　　姑娘喜欢的小花布，小伙扎的线围脖. 　　穿着个球鞋跑地快，打球赛跑不怕磨. 　　秋衣秋裤号头多呀，又可身来，又暖和. 　　小孩用的吃奶的嘴呀， 　　挠痒痒的老头乐， 　　老大娘见了我呀，也能满意呀! 　　我给她带来汉白玉的烟袋嘴呀， 　　乌木的杆呀， 　　还有那睁碧瓦亮的烟袋锅来阿呀. 　　老大娘一听抿嘴乐呀， 　　心思货郎的心肠热. 　　我想买的东西你车上没有阿! 　　大娘我工作在托儿所， 　　给孩子做点针线活， 　　这孩子一多没管住呀. 　　把我的镜腿给掰折， 　　我能描龙，能绣凤. 　　离开花镜就没折， 　　常把鞋里当鞋面， 　　常把鸭子当成鹅. 　　阿老大娘不用再说了哦， 　　我明白了，您是上了年纪眼神弱， 　　想买花镜不费事呀， 　　得等到明天风雨不误送到你们那个托儿所， 　　还给您捎来那眼镜盒呀! 　　金色晚霞照山坡呀， 　　货郎我推着空货车， 　　乡亲们亲亲热热送到村子口阿. 　　送货不怕路途远，翻山越岭过大河. 　　站在桥头四下望，是珍珠玛瑙挂满坡. 　　苞米棒子金闪闪，高粱带点红似火， 　　大豆结夹的里嘟喽蜜， 　　气死风的谷穗压弯了哥， 　　水库的鲤鱼直打漂， 　　鲑呱乱叫那是鹅， 　　清汤瓦舍南山下， 　　哎，那是啥时候又添了一个变电所哎， 　　货郎我越唱越高兴哎， 　　底脚板颂颂颂就好像登上了摩托车来哟哦...唉...唉.唉	东北	小调
